start_time,end_time,start_close,peak_high,pct_change,total_volume,baseline_volume
2021-09-09 16:10:00+00:00,2021-09-09 17:05:00+00:00,1.399e-05,7.499e-05,4.360257326661901,450452002891.0,3118711507.0
2021-09-09 17:10:00+00:00,2021-09-09 18:05:00+00:00,4.222e-05,9e-05,1.1316911416390338,627786692860.0,3118711507.0
2021-09-09 21:40:00+00:00,2021-09-09 22:35:00+00:00,4.599e-05,5.9e-05,0.28288758425744726,83511140758.0,18298121669.0
2021-09-09 22:55:00+00:00,2021-09-09 23:50:00+00:00,5.549e-05,6.387e-05,0.1510182014777437,135108803629.0,14021313395.5
2021-09-16 15:35:00+00:00,2021-09-16 16:30:00+00:00,6.62e-06,7.64e-06,0.15407854984894254,1124731040519.0,3089787205.0
2021-09-16 16:35:00+00:00,2021-09-16 17:30:00+00:00,7.42e-06,8.88e-06,0.19676549865229104,3819936700370.0,3012110997.5
2021-09-16 17:35:00+00:00,2021-09-16 18:30:00+00:00,9e-06,1.34e-05,0.48888888888888893,11856752106264.0,3089787205.0
2021-09-16 19:05:00+00:00,2021-09-16 20:00:00+00:00,7.81e-06,9.28e-06,0.18822023047375153,4304824433198.0,3245347935.5
2021-10-04 12:10:00+00:00,2021-10-04 13:05:00+00:00,8.98e-06,1.108e-05,0.23385300668151449,2622313873052.0,26246565520.0
2021-10-04 15:50:00+00:00,2021-10-04 16:45:00+00:00,1.021e-05,1.177e-05,0.1527913809990206,2947898992138.0,36371620727.0
2021-10-04 19:00:00+00:00,2021-10-04 19:55:00+00:00,1.162e-05,1.43e-05,0.23063683304647156,4399599635294.0,37760587015.5
2021-10-05 12:00:00+00:00,2021-10-05 12:55:00+00:00,1.402e-05,1.63e-05,0.16262482168330958,5191869657952.0,183775170570.0
2021-10-05 13:10:00+00:00,2021-10-05 14:05:00+00:00,1.635e-05,2e-05,0.2232415902140673,6098358308114.0,186833664117.5
2021-10-05 14:10:00+00:00,2021-10-05 15:05:00+00:00,1.843e-05,2.5e-05,0.35648399348887677,10602108120380.0,193046988353.5
2021-10-06 03:10:00+00:00,2021-10-06 04:05:00+00:00,1.831e-05,2.2e-05,0.20152921900600768,3797393266512.0,182563313788.5
2021-10-06 21:05:00+00:00,2021-10-06 22:00:00+00:00,2.444e-05,2.85e-05,0.16612111292962364,5553994340475.0,193850856204.5
2021-10-07 00:15:00+00:00,2021-10-07 01:10:00+00:00,2.867e-05,3.398e-05,0.1852110219741891,6140292734640.0,212125596630.5
2021-10-08 11:20:00+00:00,2021-10-08 12:15:00+00:00,2.195e-05,2.571e-05,0.17129840546697028,2111160632999.0,193143902681.0
2021-10-08 12:20:00+00:00,2021-10-08 13:15:00+00:00,2.495e-05,2.94e-05,0.1783567134268537,6728517928013.0,194221466752.5
2021-10-17 21:40:00+00:00,2021-10-17 22:35:00+00:00,2.479e-05,2.9e-05,0.16982654296087124,2358379433348.0,18880755227.0
2021-10-23 16:00:00+00:00,2021-10-23 16:55:00+00:00,2.869e-05,3.324e-05,0.15859184384803063,3013345013587.0,15092220275.5
2021-10-27 13:20:00+00:00,2021-10-27 14:15:00+00:00,5.829e-05,6.962e-05,0.1943729627723452,4534747267264.0,128494275240.0
2021-10-27 18:20:00+00:00,2021-10-27 19:15:00+00:00,7.131e-05,8.765e-05,0.2291403730192118,5634938831190.0,173540561951.5
2021-10-27 20:20:00+00:00,2021-10-27 21:15:00+00:00,7.3e-05,8.5e-05,0.16438356164383572,1342256664794.0,177488594092.0
2021-10-28 08:50:00+00:00,2021-10-28 09:45:00+00:00,6.497e-05,7.482e-05,0.1516084346621519,1325244639292.0,195286986249.5
2021-10-28 21:10:00+00:00,2021-10-28 22:05:00+00:00,5.901e-05,6.947e-05,0.17725809184883914,2298201833727.0,160413314017.0
2021-10-29 05:05:00+00:00,2021-10-29 06:00:00+00:00,6.45e-05,7.48e-05,0.15968992248062028,1847196424032.0,118969135731.5
2021-11-05 14:30:00+00:00,2021-11-05 15:25:00+00:00,5.12e-05,5.92e-05,0.1562500000000001,3270629210570.0,64716375044.5
2021-11-30 02:40:00+00:00,2021-11-30 03:35:00+00:00,4.49e-05,5.5e-05,0.2249443207126949,2002989527531.0,15674796892.5
2022-02-06 18:55:00+00:00,2022-02-06 19:50:00+00:00,2.324e-05,2.728e-05,0.17383820998278823,621027104066.0,5425195492.5
2022-02-07 14:30:00+00:00,2022-02-07 15:25:00+00:00,2.81e-05,3.28e-05,0.1672597864768683,1309337261770.0,20546893562.0
2022-04-12 12:35:00+00:00,2022-04-12 13:30:00+00:00,2.551e-05,3e-05,0.17600940807526458,2886562116050.0,7207584555.0
2022-05-12 14:10:00+00:00,2022-05-12 15:05:00+00:00,1.045e-05,1.206e-05,0.154066985645933,900851934523.0,57539584553.0
2022-05-13 00:05:00+00:00,2022-05-13 01:00:00+00:00,1.075e-05,1.253e-05,0.1655813953488372,969553659859.0,58842217548.0
2022-10-29 15:00:00+00:00,2022-10-29 15:55:00+00:00,1.25e-05,1.453e-05,0.16239999999999993,1173448336923.0,21395225596.5
2024-03-01 23:35:00+00:00,2024-03-02 00:30:00+00:00,1.633e-05,1.967e-05,0.20453153704837712,2637074404323.0,26416054037.0
2024-03-04 05:35:00+00:00,2024-03-04 06:30:00+00:00,2.302e-05,2.675e-05,0.16203301476976542,1664969514060.0,42922331879.5
2024-03-04 15:45:00+00:00,2024-03-04 16:40:00+00:00,2.889e-05,3.357e-05,0.16199376947040495,2700705668326.0,54537233951.5
2024-03-04 23:45:00+00:00,2024-03-05 00:40:00+00:00,3.513e-05,4.184e-05,0.19100483916880165,3206833191611.0,82901051553.5
2024-03-05 04:45:00+00:00,2024-03-05 05:40:00+00:00,2.062e-05,3.995e-05,0.9374393792434531,4426821844334.0,118774807628.5
2024-03-05 20:25:00+00:00,2024-03-05 21:20:00+00:00,2.859e-05,3.574e-05,0.25008744316194476,2138386165570.0,124753415167.5
2025-10-10 21:20:00+00:00,2025-10-10 22:15:00+00:00,9.9e-06,1.142e-05,0.1535353535353536,269205299792.0,568512983.0
